"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation"
"10/16/2024 17:19:55:486 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"164","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","89","1","0","0","0","10","0","0","0","0"
"166","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","90","0","0","0","0","10","0","0","0","0"
"167","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","90","0","0","0","0","10","0","0","0","0"
"168","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","40","29","13","8","0","8","0","1","1","0"
"170","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","89","0","0","0","1","10","0","0","0","0"
"169","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"171","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"172","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"173","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","1","89","0","0","0","0","0","10","0","0"
"175","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"177","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","87","3","0","0","0","9","0","1","0","0"
"174","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"176","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"178","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","90","0","0","0","0","10","0","0","0","0"
"179","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","90","0","0","0","0","10","0","0","0","0"
"180","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","0","90","0","0","0","1","0","9","0","0"
